Gene names,Alpha A30P_day_1_1, Alpha A30P_day_1_2, Alpha A30P_day_10_1, Alpha A30P_day_10_2, Alpha A53T_day_1_1, Alpha A53T_day_1_2, Alpha _day_1_1, Alpha _day_1_2
snRNP-U1-C,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Smu1,0.66281,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,0.34925,NaN,NaN,0.31288
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cpsf73,0.70514,0.46047,NaN,NaN,NaN,NaN,NaN,NaN
CstF-64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG7694,NaN,0.61656,NaN,NaN,NaN,NaN,0.44872,0.46361
Nup43,0.73083,0.66822,NaN,NaN,NaN,0.39799,NaN,0.5549
PKD,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,0.67837,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Rpb4,NaN,1.0418,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG7993,NaN,NaN,NaN,NaN,1.5104,NaN,NaN,NaN
,1.0418,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ssdp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Prx5-RA,NaN,NaN,0.94129,NaN,NaN,NaN,1.0544,NaN
,NaN,NaN,NaN,0.43857,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG7477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AttD,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SF1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,0.32035,NaN,NaN,0.21121,NaN,0.20162,0.21176
mRpS11,0.29807,0.46065,0.96474,0.72921,NaN,0.32973,0.38885,0.37213
Patr-1,NaN,NaN,NaN,NaN,0.59811,NaN,NaN,NaN
,NaN,NaN,0.43722,0.34613,NaN,NaN,NaN,NaN
CG17556-RA,0.29809,0.61225,NaN,NaN,NaN,NaN,NaN,NaN
modSP,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG10326,NaN,0.66396,NaN,NaN,NaN,NaN,NaN,0.78923
mRpS33,0.70368,0.63357,NaN,NaN,NaN,NaN,0.55525,NaN
,NaN,NaN,NaN,NaN,0.45586,NaN,NaN,NaN
CG17931,NaN,0.41429,NaN,NaN,0.39164,NaN,0.38789,0.57761
Sulf1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.7242
Bin1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
sxe2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Hmt-1,0.23327,0.25442,0.34296,NaN,0.3204,NaN,0.22879,NaN
alpha-Man-IIb,0.92177,1.185,NaN,NaN,NaN,NaN,NaN,NaN
Acyp2,0.76868,0.493,NaN,NaN,NaN,NaN,0.84203,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,0.43314,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ldlCp,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG12258,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Aats-ser,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,0.37513,0.3705,NaN,1.0356,0.5625,NaN,0.4095,NaN
mRpL9,NaN,0.32342,NaN,0.71659,0.41051,NaN,0.35969,0.33093
Rpb7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Nup93-2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Pde6,0.17677,0.29559,0.25064,0.56398,0.17181,NaN,0.27481,0.23744
mRpL11,NaN,0.28609,NaN,NaN,0.45567,NaN,0.31433,NaN
Aats-met,NaN,NaN,NaN,0.92458,NaN,NaN,NaN,NaN
Npc2b,0.36667,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,0.71818,NaN,NaN,NaN,NaN,NaN,NaN,0.75304
Cht5,0.81585,0.34182,NaN,NaN,0.53963,1.1916,0.73516,2.2513
ninaB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
flfl,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rin,0.7042,10.342,NaN,0.847,0.69057,0.42649,0.28409,0.668
poly,NaN,0.33097,NaN,0.58897,NaN,NaN,NaN,0.29329
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,0.45408,NaN,0.3889,0.36766,0.63544,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,0.32436,NaN,NaN,0.51746,0.43838,0.40316,0.33057,0.29109
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG5608-RA,0.28177,0.49948,0.32287,NaN,0.40624,NaN,NaN,0.15124
CG5641,0.42215,0.4283,0.68971,0.89628,0.67985,0.30829,0.40596,0.39033
CG17202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Dip-C,0.5199,0.53674,0.45787,0.49631,0.38272,0.41995,0.42091,0.5024
GstD5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GstD10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MBD-R2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG3532-RB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cad87A,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ClC-a,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Lk6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,8.097,NaN,0.93391,0.73264,NaN,NaN,NaN,NaN
,1.1519,NaN,NaN,NaN,NaN,NaN,0.99566,1.2463
Elp1,0.24839,NaN,NaN,NaN,NaN,NaN,NaN,NaN
wkd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,0.30489,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ranbp9,2.9949,7.8337,NaN,NaN,0.38457,NaN,NaN,6.5646
Arfip,0.40851,0.25373,NaN,NaN,NaN,NaN,NaN,NaN
CG14701,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG17726,NaN,NaN,NaN,NaN,0.38684,NaN,NaN,NaN
CG6693,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ugt35a,NaN,NaN,NaN,NaN,0.75885,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,0.65133,0.46554
,NaN,NaN,NaN,0.81036,0.49046,1.828,0.74085,0.65795
,NaN,0.86973,1.171,1.0406,NaN,NaN,0.80301,0.9191
Art1,NaN,NaN,0.74517,NaN,0.58153,NaN,0.737,NaN
mRpL37,0.33264,0.3446,0.81938,0.64269,0.31392,0.29237,0.3485,0.35799
,0.42574,0.39083,0.42087,2.2347,0.7511,0.5838,0.53476,0.49674
Bruce,NaN,NaN,NaN,0.30405,NaN,NaN,NaN,NaN
Invadolysin,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Art4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG12945-RB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG9396-RA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Vps45,0.79832,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,1.9399,NaN,0.98661,0.79816,NaN,NaN,1.0507,NaN
by,0.83805,0.88096,0.80376,NaN,NaN,NaN,NaN,NaN
CG9363,NaN,NaN,NaN,0.5385,0.4766,NaN,NaN,NaN
CG18473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,0.69535,NaN,NaN,NaN,NaN,NaN,NaN
Vps16A,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,0.72295,NaN,NaN,0.69393
hyx,NaN,NaN,NaN,NaN,0.33038,NaN,0.45699,NaN
,3.4054,NaN,NaN,NaN,NaN,NaN,1.1014,NaN
RagA-B,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CAHbeta,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
pyd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,0.99921,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG9773,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
mRpL19,0.66296,0.75888,1.7631,1.899,0.82462,0.43348,0.6449,0.74907
CG8021-RA,2.021,1.8942,2.8225,3.4611,1.2397,1.1598,1.7828,1.6314
mRpS18A,1.153,NaN,1.9838,NaN,2.2709,NaN,NaN,0.71501
PQBP-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Atg13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
tex,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Gie,0.66704,NaN,NaN,NaN,NaN,NaN,NaN,0.75105
,0.42192,0.97515,NaN,NaN,0.43039,NaN,0.62504,NaN
unc-45,0.2333,0.19474,0.2537,0.1526,0.24912,0.21067,0.070225,0.12819
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,0.59549,0.51936,NaN,NaN,NaN,NaN,NaN,0.73862
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
wtrw,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Neurochondrin,0.1823,0.077477,0.21063,0.18322,0.098927,0.14385,0.20652,0.10136
CG1104,2.3951,1.2062,0.55045,NaN,0.69759,0.8294,NaN,0.49502
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Dpck,0.48538,0.36658,NaN,NaN,0.31652,NaN,NaN,NaN
,NaN,0.30744,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
lap,1.2708,1.2252,NaN,0.89597,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
alpha-Est8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
l(2)k14505,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mcm10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG9246,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG12050-RB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG31676-RA,NaN,NaN,1.2582,0.93182,0.91273,1.2828,NaN,NaN
Spn38F,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,0.98327,NaN,NaN,0.9551,NaN,NaN,NaN
Ns4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG9319-RA,NaN,NaN,NaN,0.5119,NaN,NaN,0.37883,NaN
,NaN,0.22775,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,1.0525,NaN,NaN,NaN,NaN,3.801
,1.9515,1.5635,NaN,1.9236,NaN,1.1327,1.6413,1.5259
Arc-p34,0.54782,1.4142,1.4258,1.1938,0.79934,NaN,0.81143,0.82953
mRpS18B,NaN,NaN,0.76377,NaN,NaN,0.22248,NaN,NaN
vls,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Hf,0.92441,0.96964,NaN,NaN,NaN,NaN,0.94855,1.1929
,0.55048,NaN,NaN,NaN,NaN,NaN,NaN,NaN
pcna2,NaN,NaN,NaN,NaN,NaN,NaN,0.53738,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG33116-RA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG10166,0.72035,0.87486,NaN,0.80757,0.78517,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,0.6476,NaN,NaN,NaN
swm,0.78601,0.72032,NaN,NaN,0.58074,NaN,0.90585,1.5411
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Rab9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG9987,NaN,NaN,NaN,NaN,0.26624,0.8294,NaN,NaN
l(2)37Ce,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
l(2)37Cb,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
l(2)37Bb,0.27485,0.34873,NaN,0.2492,NaN,NaN,NaN,0.30052
Acn,0.30464,0.41733,0.54911,0.48776,0.33746,0.46143,0.41649,0.30744
mib2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Nedd8,1.5598,NaN,1.5049,1.555,NaN,NaN,1.2264,NaN
mRpL13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,0.18237,NaN,0.17085,0.097223,0.16585,0.10345,0.090093,0.21291
BEST:LD25345,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Faf,0.48727,0.51154,NaN,0.69255,NaN,NaN,NaN,0.3883
Jwa,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,0.5374,0.51613,NaN,0.69479,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,0.54547,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rdo,0.39372,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,0.65258,0.68677,1.2023,1.3096,0.65725,NaN,0.54989,0.5103
fws,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Rpb11,1.8398,1.4748,2.9457,2.0612,NaN,NaN,1.2444,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
yellow-b,NaN,NaN,NaN,NaN,0.76004,0.51678,NaN,NaN
,NaN,NaN,NaN,NaN,0.35615,NaN,NaN,NaN
CG17904,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.24609
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
l(2)35Bd,NaN,0.35388,NaN,NaN,NaN,NaN,NaN,NaN
dyn-p25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG9267-RA,NaN,NaN,NaN,NaN,NaN,NaN,0.77249,0.5845
,0.34758,0.55277,NaN,NaN,0.37602,0.52592,1.1782,0.33108
Nnp-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG31729-RA;CG6263,0.34214,0.31086,NaN,NaN,NaN,0.62135,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ski6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
kek4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DnaJ-H,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,0.49373,NaN,NaN,NaN,0.39906,NaN,NaN,15.735
Ced-12,0.70484,0.26207,0.61431,0.408,0.14138,0.18788,0.322,0.13814
RpL7-like,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG6770-RA,1.9743,1.958,1.4987,1.4349,2.0707,NaN,2.1149,1.6539
CG6766-RA,NaN,0.98394,NaN,1.1479,0.78947,NaN,0.87327,NaN
CG16965-RB,1.29,0.82119,0.97799,0.73717,NaN,NaN,0.96311,NaN
CycY,0.25778,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BcDNA.GH07269,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ppt2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
hgo,0.41257,NaN,0.29382,0.48468,NaN,NaN,NaN,NaN
Nup160,NaN,0.82747,NaN,0.48516,NaN,NaN,NaN,NaN
CG6230-RA,0.3585,0.38292,0.65408,0.52876,0.40485,0.20436,0.29916,0.36076
l(2)gd1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ge-1,0.37045,0.27968,0.35005,0.27492,0.36848,0.40325,0.172,0.1551
SCAR,0.73526,0.93254,1.1712,0.86331,0.70037,NaN,0.77483,0.98268
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG6724,0.31683,0.31383,2.4237,NaN,0.98349,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,0.63521,NaN,NaN
,1.6453,1.3864,1.3807,1.4936,0.98487,NaN,1.1859,1.0202
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG18302-RA,2.1944,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,0.95963,1.0766,2.105,1.9014,0.92893,0.77351,0.91278,0.81645
,NaN,NaN,NaN,NaN,0.32943,NaN,NaN,NaN
,0.34059,0.47544,0.65173,0.40962,0.55267,1.7578,NaN,0.37475
,0.75191,0.69697,0.8353,0.99719,0.53739,NaN,0.63599,0.68746
CG5198,1.0604,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG4968,NaN,NaN,NaN,NaN,0.98533,NaN,NaN,NaN
,0.72232,0.70601,NaN,NaN,0.11125,NaN,0.32754,0.67416
Mob3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Npc1a,0.47298,0.13209,NaN,NaN,NaN,NaN,0.43419,0.20155
,NaN,NaN,NaN,NaN,NaN,1.5989,NaN,NaN
Spn31A,0.89001,0.26351,NaN,NaN,NaN,NaN,NaN,0.39362
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG4592-RA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Srp54,0.4909,0.44579,NaN,NaN,0.95551,NaN,NaN,NaN
zf30C,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cyp4e3,NaN,NaN,NaN,NaN,1.1647,NaN,0.23755,0.36973
,2.0315,0.99981,NaN,NaN,NaN,NaN,NaN,NaN
Mco1,NaN,NaN,NaN,0.93487,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG18661,0.91045,0.81123,0.76178,0.83993,NaN,NaN,0.8603,0.70052
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Trs23,NaN,0.69878,0.85916,NaN,0.74774,NaN,1.2616,NaN
PrBP,NaN,NaN,NaN,NaN,1.1465,NaN,NaN,NaN
mRpL51,1.0683,1.139,2.6695,2.3682,NaN,0.52401,0.93913,0.95804
CG13096,NaN,NaN,NaN,NaN,0.28248,NaN,NaN,NaN
ESTS:172F5T,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
lectin-29Ca,NaN,NaN,NaN,1.6331,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Wdr82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG7627-RA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG7787,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
wol,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Spn28F,NaN,NaN,0.22518,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.61382
Rbsn-5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
mon2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
poe,0.25871,1.0888,NaN,0.18477,1.0796,0.26017,0.30211,0.17168
,NaN,2.2891,NaN,NaN,NaN,NaN,NaN,NaN
Wwox,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Proct,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
r2d2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cyp4d21,NaN,NaN,0.34692,NaN,NaN,NaN,NaN,NaN
,NaN,0.70852,NaN,NaN,0.18313,0.2089,0.19474,NaN
CG5181,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Rab30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,0.32169,0.25544,NaN,0.79822,0.45714,NaN,0.18723,0.17443
Rat1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,0.46278,NaN,NaN,NaN,NaN,0.42959,NaN
Galt,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,1.2694,0.8929,0.82711,NaN,NaN,NaN,1.2916,NaN
Ent2,1.4995,0.52878,0.73538,NaN,NaN,NaN,NaN,NaN
CG9551,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG9542,0.27232,0.34443,0.56419,0.56224,0.45896,0.45056,0.41263,0.5252
frj,NaN,0.56913,NaN,0.45318,NaN,NaN,NaN,NaN
retm,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Arpc4,0.75937,NaN,NaN,0.652,0.5028,0.39129,0.71493,0.52141
CG9175-RA,NaN,NaN,NaN,NaN,0.67375,NaN,NaN,NaN
,0.41275,0.30198,NaN,NaN,0.42719,0.2758,0.28313,0.3177
mtm,NaN,NaN,NaN,NaN,0.74504,NaN,NaN,NaN
lid,NaN,NaN,NaN,NaN,0.20988,NaN,NaN,NaN
bchs,0.49489,0.22332,0.76619,NaN,NaN,NaN,2.002,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
obst-E,NaN,NaN,2.2166,1.4714,NaN,NaN,0.86348,0.80556
,NaN,NaN,0.64752,NaN,NaN,NaN,NaN,NaN
CG7277,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG6907,0.4726,0.46573,NaN,NaN,NaN,NaN,NaN,0.79516
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cyp4ac1;Cyp4ac3;Cyp4ac2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
vkg,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG3887,0.70218,NaN,1.3701,NaN,1.6767,NaN,0.82586,0.56242
CG3792,0.55126,0.5458,NaN,NaN,NaN,NaN,0.55365,NaN
Gmd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG14043,NaN,NaN,NaN,NaN,NaN,NaN,0.64646,NaN
mRpL24,1.1706,0.97756,2.2592,2.4578,0.79901,0.71106,0.5609,0.92482
CG12581-RA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
aux,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,0.4621,0.23825,NaN,0.38819,0.45204,0.43494,NaN,0.89748
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Fip1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
eIF3-S5-1,0.38286,0.5123,0.80854,NaN,0.36734,NaN,0.71848,0.47294
atms,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG2016-RB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.72024
,NaN,0.42739,NaN,NaN,NaN,NaN,NaN,NaN
cno,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,0.85534,NaN,NaN,0.5023,0.56621
Prosbeta7,NaN,NaN,NaN,NaN,0.67867,NaN,NaN,NaN
mRpL44,0.95646,0.41342,NaN,NaN,0.55708,NaN,0.56641,0.50822
CG12168,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG2509,NaN,0.22885,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
elm,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,0.80303,0.54655,0.63928,0.73949,NaN,NaN,NaN,NaN
,1.2988,NaN,NaN,NaN,0.17298,0.86494,NaN,3.3284
CG42675-RF,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Hpr1,0.38685,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,1.2271,NaN,NaN,NaN
,NaN,0.32863,NaN,NaN,NaN,0.55352,NaN,NaN
Ddx1,0.37101,NaN,NaN,NaN,0.30406,NaN,NaN,NaN
CG7414,0.42338,0.27737,NaN,0.4302,0.24789,0.43743,0.47459,0.2431
Rpb8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,0.27925,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,0.51425,0.48774,1.4729,NaN,0.39489,0.29414,0.42545,0.52817
Wnk,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CoVIII,1.7816,NaN,NaN,NaN,1.5337,NaN,1.8825,NaN
M6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,1.6198,1.0771,1.0111,0.80039,4.3885,NaN,1.1785,1.369
CG12975,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,0.46944,1.3587,NaN,NaN,0.22662,NaN,0.35953,0.47959
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG3116,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,0.24625,NaN,NaN,NaN
CG3634,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Pex14,NaN,NaN,NaN,NaN,1.6079,NaN,NaN,NaN
CG4186-RA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,0.24614,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
mRpL15,0.68277,0.65343,1.4525,1.2915,0.46452,5.9206,0.51363,0.53895
zye,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
