Gene names,Alpha A30P_day_1_1,Alpha A30P_day_1_2,Alpha A53T_day_1_1,Alpha A53T_day_1_2,Alpha _day_1_1,Alpha _day_1_2,
RagA-B,NaN,NaN,NaN,NaN,NaN,NaN,
CAHbeta,NaN,NaN,NaN,NaN,NaN,NaN,
pyd,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
CG9773,NaN,NaN,NaN,NaN,NaN,NaN,
mRpL19,0.66296,0.75888,0.82462,0.43348,0.6449,0.74907,
CG8021-RA,2.021,1.8942,1.2397,1.1598,1.7828,1.6314,
mRpS18A,1.153,NaN,2.2709,NaN,NaN,0.71501,
PQBP-1,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
Atg13,NaN,NaN,NaN,NaN,NaN,NaN,
tex,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
Gie,0.66704,NaN,NaN,NaN,NaN,0.75105,
,0.42192,0.97515,0.43039,NaN,0.62504,NaN,
unc-45,0.2333,0.19474,0.24912,0.21067,0.070225,0.12819,
,NaN,NaN,NaN,NaN,NaN,NaN,
,0.59549,0.51936,NaN,NaN,NaN,0.73862,
,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
wtrw,NaN,NaN,NaN,NaN,NaN,NaN,
Neurochondrin,0.1823,0.077477,0.098927,0.14385,0.20652,0.10136,
CG1104,2.3951,1.2062,0.69759,0.8294,NaN,0.49502,
,NaN,NaN,NaN,NaN,NaN,NaN,
Dpck,0.48538,0.36658,0.31652,NaN,NaN,NaN,
,NaN,0.30744,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
lap,1.2708,1.2252,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
alpha-Est8,NaN,NaN,NaN,NaN,NaN,NaN,
l(2)k14505,NaN,NaN,NaN,NaN,NaN,NaN,
Mcm10,NaN,NaN,NaN,NaN,NaN,NaN,
CG9246,NaN,NaN,NaN,NaN,NaN,NaN,
CG12050-RB,NaN,NaN,NaN,NaN,NaN,NaN,
CG31676-RA,NaN,NaN,0.91273,1.2828,NaN,NaN,
Spn38F,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,0.98327,0.9551,NaN,NaN,NaN,
Ns4,NaN,NaN,NaN,NaN,NaN,NaN,
CG9319-RA,NaN,NaN,NaN,NaN,0.37883,NaN,
,NaN,0.22775,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,3.801,
,1.9515,1.5635,NaN,1.1327,1.6413,1.5259,
Arc-p34,0.54782,1.4142,0.79934,NaN,0.81143,0.82953,
mRpS18B,NaN,NaN,NaN,0.22248,NaN,NaN,
vls,NaN,NaN,NaN,NaN,NaN,NaN,
Hf,0.92441,0.96964,NaN,NaN,0.94855,1.1929,
,0.55048,NaN,NaN,NaN,NaN,NaN,
pcna2,NaN,NaN,NaN,NaN,0.53738,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
CG33116-RA,NaN,NaN,NaN,NaN,NaN,NaN,
CG10166,0.72035,0.87486,0.78517,NaN,NaN,NaN,
,NaN,NaN,0.6476,NaN,NaN,NaN,
swm,0.78601,0.72032,0.58074,NaN,0.90585,1.5411,
,NaN,NaN,NaN,NaN,NaN,NaN,
Rab9,NaN,NaN,NaN,NaN,NaN,NaN,
CG9987,NaN,NaN,0.26624,0.8294,NaN,NaN,
l(2)37Ce,NaN,NaN,NaN,NaN,NaN,NaN,
l(2)37Cb,NaN,NaN,NaN,NaN,NaN,NaN,
l(2)37Bb,0.27485,0.34873,NaN,NaN,NaN,0.30052,
Acn,0.30464,0.41733,0.33746,0.46143,0.41649,0.30744,
mib2,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
Nedd8,1.5598,NaN,NaN,NaN,1.2264,NaN,
mRpL13,NaN,NaN,NaN,NaN,NaN,NaN,
,0.18237,NaN,0.16585,0.10345,0.090093,0.21291,
BEST:LD25345,NaN,NaN,NaN,NaN,NaN,NaN,
Faf,0.48727,0.51154,NaN,NaN,NaN,0.3883,
Jwa,NaN,NaN,NaN,NaN,NaN,NaN,
,0.5374,0.51613,NaN,NaN,NaN,NaN,
,NaN,NaN,0.54547,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
rdo,0.39372,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
,0.65258,0.68677,0.65725,NaN,0.54989,0.5103,
fws,NaN,NaN,NaN,NaN,NaN,NaN,
Rpb11,1.8398,1.4748,NaN,NaN,1.2444,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
yellow-b,NaN,NaN,0.76004,0.51678,NaN,NaN,
,NaN,NaN,0.35615,NaN,NaN,NaN,
CG17904,NaN,NaN,NaN,NaN,NaN,0.24609,
,NaN,NaN,NaN,NaN,NaN,NaN,
l(2)35Bd,NaN,0.35388,NaN,NaN,NaN,NaN,
dyn-p25,NaN,NaN,NaN,NaN,NaN,NaN,
CG9267-RA,NaN,NaN,NaN,NaN,0.77249,0.5845,
,0.34758,0.55277,0.37602,0.52592,1.1782,0.33108,
Nnp-1,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
CG31729-RA;CG6263,0.34214,0.31086,NaN,0.62135,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
Ski6,NaN,NaN,NaN,NaN,NaN,NaN,
kek4,NaN,NaN,NaN,NaN,NaN,NaN,
DnaJ-H,NaN,NaN,NaN,NaN,NaN,NaN,
,0.49373,NaN,0.39906,NaN,NaN,15.735,
Ced-12,0.70484,0.26207,0.14138,0.18788,0.322,0.13814,
RpL7-like,NaN,NaN,NaN,NaN,NaN,NaN,
CG6770-RA,1.9743,1.958,2.0707,NaN,2.1149,1.6539,
CG6766-RA,NaN,0.98394,0.78947,NaN,0.87327,NaN,
CG16965-RB,1.29,0.82119,NaN,NaN,0.96311,NaN,
CycY,0.25778,NaN,NaN,NaN,NaN,NaN,
BcDNA.GH07269,NaN,NaN,NaN,NaN,NaN,NaN,
Ppt2,NaN,NaN,NaN,NaN,NaN,NaN,
hgo,0.41257,NaN,NaN,NaN,NaN,NaN,
Nup160,NaN,0.82747,NaN,NaN,NaN,NaN,
CG6230-RA,0.3585,0.38292,0.40485,0.20436,0.29916,0.36076,
l(2)gd1,NaN,NaN,NaN,NaN,NaN,NaN,
Ge-1,0.37045,0.27968,0.36848,0.40325,0.172,0.1551,
SCAR,0.73526,0.93254,0.70037,NaN,0.77483,0.98268,
,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
CG6724,0.31683,0.31383,0.98349,NaN,NaN,NaN,
,NaN,NaN,NaN,0.63521,NaN,NaN,
,1.6453,1.3864,0.98487,NaN,1.1859,1.0202,
,NaN,NaN,NaN,NaN,NaN,NaN,
CG18302-RA,2.1944,NaN,NaN,NaN,NaN,NaN,
,0.95963,1.0766,0.92893,0.77351,0.91278,0.81645,
,NaN,NaN,0.32943,NaN,NaN,NaN,
,0.34059,0.47544,0.55267,1.7578,NaN,0.37475,
,0.75191,0.69697,0.53739,NaN,0.63599,0.68746,
CG5198,1.0604,NaN,NaN,NaN,NaN,NaN,
CG4968,NaN,NaN,0.98533,NaN,NaN,NaN,
,0.72232,0.70601,0.11125,NaN,0.32754,0.67416,
Mob3,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
Npc1a,0.47298,0.13209,NaN,NaN,0.43419,0.20155,
,NaN,NaN,NaN,1.5989,NaN,NaN,
Spn31A,0.89001,0.26351,NaN,NaN,NaN,0.39362,
,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
CG4592-RA,NaN,NaN,NaN,NaN,NaN,NaN,
Srp54,0.4909,0.44579,0.95551,NaN,NaN,NaN,
zf30C,NaN,NaN,NaN,NaN,NaN,NaN,
Cyp4e3,NaN,NaN,1.1647,NaN,0.23755,0.36973,
,2.0315,0.99981,NaN,NaN,NaN,NaN,
Mco1,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
CG18661,0.91045,0.81123,NaN,NaN,0.8603,0.70052,
,NaN,NaN,NaN,NaN,NaN,NaN,
Trs23,NaN,0.69878,0.74774,NaN,1.2616,NaN,
PrBP,NaN,NaN,1.1465,NaN,NaN,NaN,
mRpL51,1.0683,1.139,NaN,0.52401,0.93913,0.95804,
CG13096,NaN,NaN,0.28248,NaN,NaN,NaN,
ESTS:172F5T,NaN,NaN,NaN,NaN,NaN,NaN,
lectin-29Ca,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
Wdr82,NaN,NaN,NaN,NaN,NaN,NaN,
CG7627-RA,NaN,NaN,NaN,NaN,NaN,NaN,
CG7787,NaN,NaN,NaN,NaN,NaN,NaN,
wol,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
Spn28F,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,0.61382,
Rbsn-5,NaN,NaN,NaN,NaN,NaN,NaN,
mon2,NaN,NaN,NaN,NaN,NaN,NaN,
poe,0.25871,1.0888,1.0796,0.26017,0.30211,0.17168,
,NaN,2.2891,NaN,NaN,NaN,NaN,
Wwox,NaN,NaN,NaN,NaN,NaN,NaN,
Proct,NaN,NaN,NaN,NaN,NaN,NaN,
r2d2,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
Cyp4d21,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,0.70852,0.18313,0.2089,0.19474,NaN,
CG5181,NaN,NaN,NaN,NaN,NaN,NaN,
Rab30,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
SA,NaN,NaN,NaN,NaN,NaN,NaN,
,0.32169,0.25544,0.45714,NaN,0.18723,0.17443,
Rat1,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,0.46278,NaN,NaN,0.42959,NaN,
Galt,NaN,NaN,NaN,NaN,NaN,NaN,
,1.2694,0.8929,NaN,NaN,1.2916,NaN,
Ent2,1.4995,0.52878,NaN,NaN,NaN,NaN,
CG9551,NaN,NaN,NaN,NaN,NaN,NaN,
CG9542,0.27232,0.34443,0.45896,0.45056,0.41263,0.5252,
frj,NaN,0.56913,NaN,NaN,NaN,NaN,
retm,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
Arpc4,0.75937,NaN,0.5028,0.39129,0.71493,0.52141,
CG9175-RA,NaN,NaN,0.67375,NaN,NaN,NaN,
,0.41275,0.30198,0.42719,0.2758,0.28313,0.3177,
mtm,NaN,NaN,0.74504,NaN,NaN,NaN,
lid,NaN,NaN,0.20988,NaN,NaN,NaN,
bchs,0.49489,0.22332,NaN,NaN,2.002,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
obst-E,NaN,NaN,NaN,NaN,0.86348,0.80556,
,NaN,NaN,NaN,NaN,NaN,NaN,
CG7277,NaN,NaN,NaN,NaN,NaN,NaN,
CG6907,0.4726,0.46573,NaN,NaN,NaN,0.79516,
,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
Cyp4ac1;Cyp4ac3;Cyp4ac2,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
vkg,NaN,NaN,NaN,NaN,NaN,NaN,
CG3887,0.70218,NaN,1.6767,NaN,0.82586,0.56242,
CG3792,0.55126,0.5458,NaN,NaN,0.55365,NaN,
Gmd,NaN,NaN,NaN,NaN,NaN,NaN,
CG14043,NaN,NaN,NaN,NaN,0.64646,NaN,
mRpL24,1.1706,0.97756,0.79901,0.71106,0.5609,0.92482,
CG12581-RA,NaN,NaN,NaN,NaN,NaN,NaN,
aux,NaN,NaN,NaN,NaN,NaN,NaN,
,0.4621,0.23825,0.45204,0.43494,NaN,0.89748,
,NaN,NaN,NaN,NaN,NaN,NaN,
Fip1,NaN,NaN,NaN,NaN,NaN,NaN,
CG12001,NaN,NaN,NaN,NaN,NaN,NaN,
eIF3-S5-1,0.38286,0.5123,0.36734,NaN,0.71848,0.47294,
atms,NaN,NaN,NaN,NaN,NaN,NaN,
CG2016-RB,NaN,NaN,NaN,NaN,NaN,0.72024,
,NaN,0.42739,NaN,NaN,NaN,NaN,
cno,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,0.5023,0.56621,
Prosbeta7,NaN,NaN,0.67867,NaN,NaN,NaN,
mRpL44,0.95646,0.41342,0.55708,NaN,0.56641,0.50822,
CG12168,NaN,NaN,NaN,NaN,NaN,NaN,
CG2509,NaN,0.22885,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
elm,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
,0.80303,0.54655,NaN,NaN,NaN,NaN,
,1.2988,NaN,0.17298,0.86494,NaN,3.3284,
CG42675-RF,NaN,NaN,NaN,NaN,NaN,NaN,
Hpr1,0.38685,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,1.2271,NaN,NaN,NaN,
,NaN,0.32863,NaN,0.55352,NaN,NaN,
Ddx1,0.37101,NaN,0.30406,NaN,NaN,NaN,
CG7414,0.42338,0.27737,0.24789,0.43743,0.47459,0.2431,
Rpb8,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,0.27925,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
,0.51425,0.48774,0.39489,0.29414,0.42545,0.52817,
Wnk,NaN,NaN,NaN,NaN,NaN,NaN,
CoVIII,1.7816,NaN,1.5337,NaN,1.8825,NaN,
M6,NaN,NaN,NaN,NaN,NaN,NaN,
,1.6198,1.0771,4.3885,NaN,1.1785,1.369,
CG12975,NaN,NaN,NaN,NaN,NaN,NaN,
,0.46944,1.3587,0.22662,NaN,0.35953,0.47959,
,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
CG3116,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,0.24625,NaN,NaN,NaN,
CG3634,NaN,NaN,NaN,NaN,NaN,NaN,
Pex14,NaN,NaN,1.6079,NaN,NaN,NaN,
CG4186-RA,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,0.24614,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
mRpL15,0.68277,0.65343,0.46452,5.9206,0.51363,0.53895,
zye,NaN,NaN,NaN,NaN,NaN,NaN,
Toll-9,NaN,NaN,NaN,NaN,NaN,NaN,
Spn77Bc,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,0.15514,NaN,NaN,NaN,
,0.55562,0.40703,NaN,NaN,0.45926,0.45763,
mRpL10,NaN,NaN,0.21457,NaN,NaN,NaN,
Tbc1d15-17,NaN,NaN,NaN,NaN,NaN,NaN,
CG17078-RA,0.39094,0.42129,0.39801,0.47589,NaN,NaN,
Spp,0.44456,0.24663,0.38124,NaN,0.30166,0.36251,
nAcRbeta-21C,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
Clp,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,0.26208,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
Atg4,2.8424,NaN,0.1936,0.29058,NaN,NaN,
,NaN,NaN,0.23738,NaN,NaN,NaN,
Iris,NaN,NaN,NaN,NaN,NaN,NaN,
capt,0.39891,0.31664,NaN,NaN,0.44616,0.39029,
Plap,2.8215,0.32047,2.5768,0.36064,0.28407,0.21299,
CG5001-RA,0.36401,0.42877,0.48319,0.41143,NaN,0.39589,
,NaN,NaN,NaN,NaN,NaN,1.2628,
,1.0754,0.90253,1.0905,0.93543,0.84298,0.87866,
robo3,NaN,NaN,NaN,NaN,NaN,NaN,
mRpL48,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
CG15356-RA,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,2.2211,NaN,NaN,NaN,1.0983,
l(2)s5379,0.52985,NaN,0.59478,0.51653,0.53237,0.54334,
,NaN,NaN,NaN,NaN,NaN,NaN,
CG3597-RA,NaN,1.2304,NaN,NaN,NaN,0.99558,
Glyctk,NaN,NaN,NaN,NaN,NaN,NaN,
Cyp309a1,NaN,NaN,NaN,NaN,NaN,NaN,
Arpc5,0.70971,0.90546,0.80709,0.67416,0.61606,NaN,
CG31689-RA,NaN,NaN,NaN,NaN,NaN,NaN,
CG3098,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,0.68119,0.47436,NaN,1.7637,2.7226,
Prx6005,NaN,1.7595,NaN,NaN,NaN,1.3597,
,NaN,0.51907,NaN,NaN,NaN,0.87637,
GABPI,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
sec5,0.31628,NaN,0.31345,NaN,NaN,0.47863,
,NaN,NaN,NaN,NaN,NaN,NaN,
Dot,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,1.153,NaN,
,NaN,NaN,0.84894,NaN,NaN,NaN,
,2.2868,3.5143,NaN,1.0214,NaN,NaN,
,0.34766,0.40782,NaN,NaN,NaN,NaN,
ed,NaN,NaN,NaN,NaN,NaN,NaN,
lectin-24Db,NaN,NaN,NaN,NaN,NaN,NaN,
CG3338-RA,NaN,NaN,NaN,NaN,NaN,NaN,
Elp3,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
,0.3318,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
,0.30666,0.29561,6.552,NaN,0.29553,0.30765,
,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
hoe2,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
CG14614-RA,NaN,NaN,NaN,NaN,NaN,NaN,
CG14619-RC,0.21132,0.27505,NaN,NaN,NaN,NaN,
,0.9917,1.3938,NaN,NaN,NaN,1.4366,
S6kII,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
Cda4,NaN,NaN,NaN,NaN,NaN,NaN,
obst-A,NaN,0.62537,0.4921,NaN,NaN,0.58501,
Syx16,NaN,NaN,NaN,NaN,NaN,NaN,
Obp19b,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,0.76867,NaN,NaN,NaN,NaN,
CG32521-RB,NaN,NaN,NaN,NaN,NaN,NaN,
CG1704,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,0.27152,0.32804,0.21619,NaN,
waw,NaN,0.46698,NaN,NaN,NaN,NaN,
CG10671,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,0.6032,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
membrin,NaN,NaN,NaN,NaN,NaN,NaN,
sinu,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
Bre1,NaN,NaN,NaN,NaN,NaN,NaN,
QC,1.8225,1.7084,NaN,1.5806,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
alphaKap4,NaN,NaN,NaN,NaN,NaN,NaN,
loj,NaN,NaN,0.56705,NaN,NaN,NaN,
CG13298,NaN,NaN,NaN,NaN,1.0282,0.96812,
Trn,NaN,NaN,NaN,NaN,NaN,0.22957,
,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,0.72378,
,0.6375,0.32331,0.32298,0.18646,0.26965,0.3321,
,NaN,NaN,NaN,NaN,NaN,NaN,
CG14830-RA,2.779,2.197,2.0431,NaN,2.2557,2.4292,
unc-13-4A,NaN,NaN,NaN,NaN,NaN,NaN,
,0.67295,NaN,0.54228,NaN,0.81753,NaN,
Cyp316a1,NaN,NaN,NaN,NaN,NaN,NaN,
ltl,NaN,NaN,NaN,NaN,NaN,NaN,
Srp9,NaN,NaN,NaN,NaN,NaN,NaN,
RNaseX25,1.4599,NaN,NaN,NaN,0.69482,0.89733,
CG7375,0.65112,0.68152,0.76476,NaN,0.78094,0.8241,
CG8005,NaN,NaN,NaN,NaN,NaN,NaN,
,0.31063,NaN,0.23417,NaN,0.33023,NaN,
exo70,0.45956,0.48197,0.34275,NaN,0.29299,0.59211,
,NaN,NaN,NaN,NaN,NaN,0.81142,
GstO1,0.63153,0.60499,0.5965,NaN,0.47384,0.59041,
GAPsec,NaN,NaN,NaN,NaN,NaN,NaN,
Zasp66,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
Srp68,0.34144,0.52126,0.41392,0.27086,0.13855,1.6282,
,NaN,NaN,0.41011,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
Use1,0.79362,1.1526,NaN,NaN,NaN,0.82995,
nwk,NaN,NaN,NaN,NaN,NaN,NaN,
UGP,1.1387,1.6438,NaN,NaN,1.7801,NaN,
CG4447-RA,2.2423,2.1654,2.452,NaN,2.0615,2.1603,
Bet3,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,0.85137,NaN,NaN,NaN,
vnc,NaN,0.23013,0.28159,NaN,0.38276,0.40479,
,NaN,NaN,0.49952,NaN,NaN,NaN,
CG7949,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
blos2,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
APP-BP1,0.45855,NaN,NaN,0.15035,0.56066,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
mRpL2,0.17914,0.29727,0.27416,NaN,0.2076,NaN,
Ufd1-like,NaN,0.80529,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
Plod,NaN,NaN,NaN,NaN,0.4256,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
Fuca,NaN,NaN,NaN,NaN,NaN,NaN,
CG6083-RA,NaN,NaN,NaN,NaN,NaN,NaN,
CG32085-RA,NaN,NaN,NaN,NaN,NaN,NaN,
RhoGAP68F,NaN,NaN,0.39602,NaN,NaN,NaN,
thoc6,NaN,NaN,NaN,NaN,NaN,NaN,
,0.51311,0.78413,0.57436,NaN,0.63761,0.70286,
Smyd4,NaN,NaN,NaN,NaN,NaN,NaN,
ArfGAP1,0.6716,0.42888,0.40202,0.63193,0.54247,0.57815,
CG10616,NaN,NaN,NaN,NaN,NaN,NaN,
SmD1,0.86428,1.1388,NaN,NaN,0.99487,1.0202,
,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,0.67305,1.0702,0.56277,0.97139,NaN,
mRpL20,0.33781,NaN,0.44326,NaN,NaN,NaN,
SRm160,0.50551,0.34861,1.4457,NaN,0.35809,0.46213,
,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
CG14105,NaN,NaN,NaN,NaN,NaN,NaN,
Vps36,NaN,NaN,NaN,NaN,NaN,NaN,
Liprin-beta,NaN,NaN,NaN,NaN,NaN,NaN,
bru-3,NaN,NaN,NaN,NaN,NaN,NaN,
CG8745,NaN,NaN,NaN,NaN,NaN,NaN,
CG32138,NaN,NaN,4.7162,NaN,NaN,NaN,
Pex1,NaN,NaN,NaN,NaN,NaN,NaN,
bbg,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
mop,0.26227,NaN,0.5411,NaN,0.41192,NaN,
,0.83723,0.64983,1.109,0.83031,0.72474,0.62957,
mRpL39,0.43882,0.32156,0.38839,0.40945,0.42098,NaN,
CTPsyn,NaN,0.29649,NaN,NaN,0.39835,0.30761,
,NaN,NaN,NaN,NaN,NaN,NaN,
Pex3,NaN,NaN,NaN,NaN,NaN,NaN,
Prp31,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,1.5783,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,0.92196,NaN,NaN,NaN,
CG7857-RA,0.40568,0.72999,NaN,NaN,0.5462,NaN,
CG7427,NaN,NaN,NaN,NaN,NaN,1.7083,
UFSP2,0.4583,NaN,NaN,NaN,NaN,NaN,
CG12304;CG12304-RB,0.21226,0.22143,0.35909,0.18771,0.22869,0.29277,
CG15715-RA,NaN,NaN,NaN,NaN,NaN,NaN,
,0.61705,7.3926,0.85034,NaN,NaN,NaN,
CG5931,0.31667,0.17978,6.4729,NaN,0.24891,0.17323,
CG17026-RA,NaN,NaN,NaN,NaN,NaN,NaN,
Hip14,NaN,NaN,NaN,NaN,NaN,NaN,
CG5161,1.5346,1.6307,NaN,NaN,NaN,2.3536,
,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,1.4061,NaN,NaN,NaN,
CG13062-RA,NaN,NaN,NaN,NaN,NaN,NaN,
Nplp3,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,1.8003,NaN,0.51809,0.75893,0.76414,
,0.25285,NaN,0.15455,0.15841,NaN,0.11933,
mRpS34,0.49501,0.49424,0.47865,0.24614,0.51363,0.45919,
CG4933,NaN,NaN,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
RAF2,NaN,NaN,0.78422,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
Syx8,NaN,NaN,NaN,NaN,NaN,NaN,
l(3)73Ah,NaN,NaN,NaN,NaN,NaN,NaN,
,0.27231,0.20807,0.29316,NaN,0.23085,0.1667,
,NaN,NaN,NaN,NaN,NaN,NaN,
Baldspot,NaN,NaN,NaN,NaN,NaN,0.38054,
,NaN,NaN,NaN,NaN,NaN,NaN,
CG9705,NaN,0.52364,0.75388,NaN,NaN,0.65381,
Lmpt,NaN,NaN,NaN,NaN,NaN,NaN,
,0.56278,NaN,NaN,0.18031,NaN,NaN,
Fit2,NaN,NaN,0.33877,NaN,NaN,NaN,
,0.66192,0.75454,0.72659,0.68004,0.54216,0.70207,
CG32174,NaN,NaN,NaN,NaN,NaN,1.4525,
Oatp74D,NaN,NaN,NaN,NaN,NaN,NaN,
U4-U6-60K,NaN,NaN,NaN,NaN,NaN,1.0148,
,0.54183,0.41281,NaN,NaN,NaN,NaN,
,NaN,NaN,NaN,NaN,NaN,NaN,
