Gene names,Alpha A30P_day_1_1, Alpha A30P_day_1_2, Alpha A53T_day_1_1, Alpha A53T_day_1_2, Alpha _day_1_1, Alpha _day_1_2, Alpha A30P_day_10_1, Alpha A30P_day_10_2, Alpha A53T_day_10_1, Alpha A53T_day_10_2, Alpha _day_10_1, Alpha _day_10_2, Alpha A53T_day_30_1, Alpha A53T_day_30_2, Alpha _day_30_1, Alpha _day_30_2
alpha-Est8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
l(2)k14505,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mcm10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG9246,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG12050-RB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG31676-RA,NaN,NaN,0.91273,1.2828,NaN,NaN,1.2582,0.93182,1.3806,1.6996,1.2335,1.5121,1.0838,NaN,NaN,1.1044
Spn38F,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,0.98327,0.9551,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ns4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG9319-RA,NaN,NaN,NaN,NaN,0.37883,NaN,NaN,0.5119,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,0.22775,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,3.801,1.0525,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,1.9515,1.5635,NaN,1.1327,1.6413,1.5259,NaN,1.9236,NaN,2.1321,NaN,NaN,NaN,NaN,NaN,NaN
Arc-p34,0.54782,1.4142,0.79934,NaN,0.81143,0.82953,1.4258,1.1938,1.2204,1.005,NaN,1.5065,NaN,NaN,NaN,1.0765
mRpS18B,NaN,NaN,NaN,0.22248,NaN,NaN,0.76377,NaN,0.66204,NaN,NaN,NaN,NaN,NaN,0.72941,NaN
vls,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Hf,0.92441,0.96964,NaN,NaN,0.94855,1.1929,NaN,NaN,NaN,1.0557,NaN,NaN,NaN,NaN,NaN,NaN
,0.55048,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
pcna2,NaN,NaN,NaN,NaN,0.53738,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG33116-RA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG10166,0.72035,0.87486,0.78517,NaN,NaN,NaN,NaN,0.80757,0.81091,NaN,0.67793,NaN,NaN,NaN,NaN,0.77469
,NaN,NaN,0.6476,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
swm,0.78601,0.72032,0.58074,NaN,0.90585,1.5411,NaN,NaN,0.43775,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Rab9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.88655,NaN,NaN,NaN
CG9987,NaN,NaN,0.26624,0.8294,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.292,NaN,NaN,NaN,NaN
l(2)37Ce,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.51248,NaN,NaN,NaN,NaN,NaN,NaN
l(2)37Cb,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
l(2)37Bb,0.27485,0.34873,NaN,NaN,NaN,0.30052,NaN,0.2492,NaN,0.41781,NaN,0.79909,NaN,NaN,NaN,NaN
Acn,0.30464,0.41733,0.33746,0.46143,0.41649,0.30744,0.54911,0.48776,0.33559,0.5447,0.64713,0.60372,NaN,NaN,0.40268,0.97495
mib2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Nedd8,1.5598,NaN,NaN,NaN,1.2264,NaN,1.5049,1.555,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.3263
mRpL13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,0.18237,NaN,0.16585,0.10345,0.090093,0.21291,0.17085,0.097223,NaN,NaN,NaN,NaN,NaN,NaN,0.82506,2.1776
BEST:LD25345,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.81124,NaN,NaN,0.73413,NaN
Faf,0.48727,0.51154,NaN,NaN,NaN,0.3883,NaN,0.69255,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Jwa,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,0.5374,0.51613,NaN,NaN,NaN,NaN,NaN,0.69479,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,0.54547,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
rdo,0.39372,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.51354,NaN,NaN,NaN,NaN
,0.65258,0.68677,0.65725,NaN,0.54989,0.5103,1.2023,1.3096,1.1627,NaN,NaN,NaN,NaN,NaN,1.2011,NaN
fws,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Rpb11,1.8398,1.4748,NaN,NaN,1.2444,NaN,2.9457,2.0612,2.2958,1.7113,NaN,NaN,NaN,NaN,2.4218,1.1018
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
yellow-b,NaN,NaN,0.76004,0.51678,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,0.35615,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG17904,NaN,NaN,NaN,NaN,NaN,0.24609,NaN,NaN,NaN,0.44864,NaN,NaN,NaN,NaN,0.8199,0.35168
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.34129,0.3815
l(2)35Bd,NaN,0.35388,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
dyn-p25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG9267-RA,NaN,NaN,NaN,NaN,0.77249,0.5845,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,0.34758,0.55277,0.37602,0.52592,1.1782,0.33108,NaN,NaN,NaN,0.93731,0.86266,NaN,NaN,NaN,9.9607,1.0661
Nnp-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.6728,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG31729-RA;CG6263,0.34214,0.31086,NaN,0.62135,NaN,NaN,NaN,NaN,NaN,NaN,0.50648,NaN,NaN,NaN,NaN,0.2398
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ski6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
kek4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DnaJ-H,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,0.49373,NaN,0.39906,NaN,NaN,15.735,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ced-12,0.70484,0.26207,0.14138,0.18788,0.322,0.13814,0.61431,0.408,0.32559,0.22315,0.13408,0.21612,0.56478,NaN,NaN,NaN
RpL7-like,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG6770-RA,1.9743,1.958,2.0707,NaN,2.1149,1.6539,1.4987,1.4349,NaN,2.063,NaN,NaN,NaN,NaN,1.1994,NaN
CG6766-RA,NaN,0.98394,0.78947,NaN,0.87327,NaN,NaN,1.1479,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG16965-RB,1.29,0.82119,NaN,NaN,0.96311,NaN,0.97799,0.73717,0.61051,0.63889,NaN,0.57324,NaN,NaN,0.47125,0.60263
CycY,0.25778,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BcDNA.GH07269,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ppt2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
hgo,0.41257,NaN,NaN,NaN,NaN,NaN,0.29382,0.48468,0.36678,0.45669,NaN,0.25203,NaN,NaN,0.34426,0.35039
Nup160,NaN,0.82747,NaN,NaN,NaN,NaN,NaN,0.48516,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG6230-RA,0.3585,0.38292,0.40485,0.20436,0.29916,0.36076,0.65408,0.52876,0.33916,0.39012,0.87399,3.9656,NaN,NaN,0.20626,0.243
l(2)gd1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.54125,NaN,NaN,NaN,NaN,NaN,NaN
Ge-1,0.37045,0.27968,0.36848,0.40325,0.172,0.1551,0.35005,0.27492,0.54683,NaN,NaN,NaN,NaN,NaN,NaN,0.43786
SCAR,0.73526,0.93254,0.70037,NaN,0.77483,0.98268,1.1712,0.86331,NaN,1.0055,1.3523,1.007,NaN,NaN,1.1978,1.0197
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG6724,0.31683,0.31383,0.98349,NaN,NaN,NaN,2.4237,NaN,NaN,NaN,2.0638,2.5485,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,0.63521,NaN,NaN,NaN,NaN,NaN,NaN,0.266,NaN,NaN,NaN,NaN,NaN
,1.6453,1.3864,0.98487,NaN,1.1859,1.0202,1.3807,1.4936,0.9866,1.3536,1.6635,0.69595,NaN,NaN,1.0218,0.91402
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG18302-RA,2.1944,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.61951,NaN,NaN,1.6329,NaN,NaN,1.164,1.4367
,0.95963,1.0766,0.92893,0.77351,0.91278,0.81645,2.105,1.9014,1.4397,1.8606,3.6053,2.6004,NaN,NaN,2.7521,3.4479
,NaN,NaN,0.32943,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,0.34059,0.47544,0.55267,1.7578,NaN,0.37475,0.65173,0.40962,0.5438,0.86289,0.59048,0.51096,NaN,NaN,0.51703,0.53481
,0.75191,0.69697,0.53739,NaN,0.63599,0.68746,0.8353,0.99719,0.99727,1.3467,0.71487,0.90159,NaN,NaN,NaN,NaN
CG5198,1.0604,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG4968,NaN,NaN,0.98533,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,0.72232,0.70601,0.11125,NaN,0.32754,0.67416,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mob3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Npc1a,0.47298,0.13209,NaN,NaN,0.43419,0.20155,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,1.5989,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Spn31A,0.89001,0.26351,NaN,NaN,NaN,0.39362,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG4592-RA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Srp54,0.4909,0.44579,0.95551,NaN,NaN,NaN,NaN,NaN,0.7473,NaN,NaN,0.65198,NaN,NaN,NaN,NaN
zf30C,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cyp4e3,NaN,NaN,1.1647,NaN,0.23755,0.36973,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.22255,0.24504
,2.0315,0.99981,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Mco1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.93487,NaN,NaN,NaN,1.0959,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.5203,NaN,NaN,NaN
CG18661,0.91045,0.81123,NaN,NaN,0.8603,0.70052,0.76178,0.83993,NaN,0.84378,NaN,NaN,NaN,NaN,0.89294,0.78117
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.77456,0.56842,NaN,NaN,NaN,NaN
Trs23,NaN,0.69878,0.74774,NaN,1.2616,NaN,0.85916,NaN,NaN,1.0022,1.0881,0.78714,NaN,NaN,1.0307,1.1877
PrBP,NaN,NaN,1.1465,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
mRpL51,1.0683,1.139,NaN,0.52401,0.93913,0.95804,2.6695,2.3682,2.8745,2.1509,2.5846,2.9421,4.511,NaN,NaN,3.8026
CG13096,NaN,NaN,0.28248,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ESTS:172F5T,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
lectin-29Ca,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.6331,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Wdr82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG7627-RA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.28819,NaN,NaN,NaN,NaN,NaN
CG7787,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
wol,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Spn28F,NaN,NaN,NaN,NaN,NaN,NaN,0.22518,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,0.61382,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Rbsn-5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
mon2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
poe,0.25871,1.0888,1.0796,0.26017,0.30211,0.17168,NaN,0.18477,0.45017,NaN,NaN,NaN,NaN,NaN,NaN,0.51076
,NaN,2.2891,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Wwox,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Proct,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
r2d2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cyp4d21,NaN,NaN,NaN,NaN,NaN,NaN,0.34692,NaN,0.16864,0.23417,0.20847,0.32983,NaN,NaN,NaN,NaN
,NaN,0.70852,0.18313,0.2089,0.19474,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG5181,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Rab30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1377,1.3242,1.5599,NaN,NaN,NaN,NaN
SA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,0.32169,0.25544,0.45714,NaN,0.18723,0.17443,NaN,0.79822,NaN,NaN,0.36893,NaN,NaN,NaN,NaN,0.32475
Rat1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,0.46278,NaN,NaN,0.42959,NaN,NaN,NaN,NaN,NaN,NaN,0.60371,NaN,NaN,NaN,NaN
Galt,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,1.2694,0.8929,NaN,NaN,1.2916,NaN,0.82711,NaN,NaN,1.2549,NaN,NaN,NaN,NaN,NaN,NaN
Ent2,1.4995,0.52878,NaN,NaN,NaN,NaN,0.73538,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG9551,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG9542,0.27232,0.34443,0.45896,0.45056,0.41263,0.5252,0.56419,0.56224,0.35403,0.58068,0.47217,0.5305,NaN,NaN,NaN,0.48385
frj,NaN,0.56913,NaN,NaN,NaN,NaN,NaN,0.45318,NaN,NaN,0.44858,0.36249,NaN,NaN,NaN,NaN
retm,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.50737,0.36552,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Arpc4,0.75937,NaN,0.5028,0.39129,0.71493,0.52141,NaN,0.652,0.87759,0.86025,NaN,NaN,NaN,NaN,NaN,0.77683
CG9175-RA,NaN,NaN,0.67375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,0.41275,0.30198,0.42719,0.2758,0.28313,0.3177,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
mtm,NaN,NaN,0.74504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
lid,NaN,NaN,0.20988,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.6638,NaN
bchs,0.49489,0.22332,NaN,NaN,2.002,NaN,0.76619,NaN,NaN,NaN,NaN,0.23862,NaN,NaN,NaN,0.58217
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
obst-E,NaN,NaN,NaN,NaN,0.86348,0.80556,2.2166,1.4714,NaN,1.6385,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,0.64752,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG7277,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG6907,0.4726,0.46573,NaN,NaN,NaN,0.79516,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cyp4ac1;Cyp4ac3;Cyp4ac2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
vkg,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG3887,0.70218,NaN,1.6767,NaN,0.82586,0.56242,1.3701,NaN,NaN,NaN,1.5427,NaN,NaN,NaN,1.3906,1.2778
CG3792,0.55126,0.5458,NaN,NaN,0.55365,NaN,NaN,NaN,NaN,NaN,0.74546,NaN,NaN,NaN,0.61025,NaN
Gmd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG14043,NaN,NaN,NaN,NaN,0.64646,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
mRpL24,1.1706,0.97756,0.79901,0.71106,0.5609,0.92482,2.2592,2.4578,NaN,2.7759,NaN,2.2305,NaN,NaN,NaN,NaN
CG12581-RA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
aux,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,0.4621,0.23825,0.45204,0.43494,NaN,0.89748,NaN,0.38819,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Fip1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
eIF3-S5-1,0.38286,0.5123,0.36734,NaN,0.71848,0.47294,0.80854,NaN,0.86366,0.84046,NaN,NaN,NaN,NaN,NaN,NaN
atms,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG2016-RB,NaN,NaN,NaN,NaN,NaN,0.72024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,0.42739,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.32015,NaN,0.70978,NaN,NaN,0.40512,0.39892
cno,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,0.5023,0.56621,NaN,0.85534,0.80907,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Prosbeta7,NaN,NaN,0.67867,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0826,NaN,NaN,NaN,NaN,NaN
mRpL44,0.95646,0.41342,0.55708,NaN,0.56641,0.50822,NaN,NaN,2.3524,NaN,1.2361,NaN,NaN,NaN,NaN,NaN
CG12168,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CG2509,NaN,0.22885,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
elm,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
