Gene names, Alpha A30P_day_10_1, Alpha A30P_day_10_2, Alpha A53T_day_10_1, Alpha A53T_day_10_2, Alpha _day_10_1, Alpha _day_10_2
pcna2,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
CG33116-RA,NaN,NaN,NaN,NaN,NaN,NaN
CG10166,NaN,0.80757,0.81091,NaN,0.67793,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
swm,NaN,NaN,0.43775,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Rab9,NaN,NaN,NaN,NaN,NaN,NaN
CG9987,NaN,NaN,NaN,NaN,NaN,1.292
l(2)37Ce,NaN,NaN,NaN,0.51248,NaN,NaN
l(2)37Cb,NaN,NaN,NaN,NaN,NaN,NaN
l(2)37Bb,NaN,0.2492,NaN,0.41781,NaN,0.79909
Acn,0.54911,0.48776,0.33559,0.5447,0.64713,0.60372
mib2,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Nedd8,1.5049,1.555,NaN,NaN,NaN,NaN
mRpL13,NaN,NaN,NaN,NaN,NaN,NaN
,0.17085,0.097223,NaN,NaN,NaN,NaN
BEST:LD25345,NaN,NaN,NaN,NaN,NaN,0.81124
Faf,NaN,0.69255,NaN,NaN,NaN,NaN
Jwa,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,0.69479,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
rdo,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,0.51354
,1.2023,1.3096,1.1627,NaN,NaN,NaN
fws,NaN,NaN,NaN,NaN,NaN,NaN
Rpb11,2.9457,2.0612,2.2958,1.7113,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
yellow-b,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
CG17904,NaN,NaN,NaN,0.44864,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
l(2)35Bd,NaN,NaN,NaN,NaN,NaN,NaN
dyn-p25,NaN,NaN,NaN,NaN,NaN,NaN
CG9267-RA,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,0.93731,0.86266,NaN
Nnp-1,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,9.6728,NaN,NaN,NaN
CG31729-RA;CG6263,NaN,NaN,NaN,NaN,0.50648,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Ski6,NaN,NaN,NaN,NaN,NaN,NaN
kek4,NaN,NaN,NaN,NaN,NaN,NaN
DnaJ-H,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Ced-12,0.61431,0.408,0.32559,0.22315,0.13408,0.21612
RpL7-like,NaN,NaN,NaN,NaN,NaN,NaN
CG6770-RA,1.4987,1.4349,NaN,2.063,NaN,NaN
CG6766-RA,NaN,1.1479,NaN,NaN,NaN,NaN
CG16965-RB,0.97799,0.73717,0.61051,0.63889,NaN,0.57324
CycY,NaN,NaN,NaN,NaN,NaN,NaN
BcDNA.GH07269,NaN,NaN,NaN,NaN,NaN,NaN
Ppt2,NaN,NaN,NaN,NaN,NaN,NaN
hgo,0.29382,0.48468,0.36678,0.45669,NaN,0.25203
Nup160,NaN,0.48516,NaN,NaN,NaN,NaN
CG6230-RA,0.65408,0.52876,0.33916,0.39012,0.87399,3.9656
l(2)gd1,NaN,NaN,NaN,0.54125,NaN,NaN
Ge-1,0.35005,0.27492,0.54683,NaN,NaN,NaN
SCAR,1.1712,0.86331,NaN,1.0055,1.3523,1.007
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
CG6724,2.4237,NaN,NaN,NaN,2.0638,2.5485
,NaN,NaN,NaN,NaN,0.266,NaN
,1.3807,1.4936,0.9866,1.3536,1.6635,0.69595
,NaN,NaN,NaN,NaN,NaN,NaN
CG18302-RA,NaN,NaN,0.61951,NaN,NaN,1.6329
,2.105,1.9014,1.4397,1.8606,3.6053,2.6004
,NaN,NaN,NaN,NaN,NaN,NaN
,0.65173,0.40962,0.5438,0.86289,0.59048,0.51096
,0.8353,0.99719,0.99727,1.3467,0.71487,0.90159
CG5198,NaN,NaN,NaN,NaN,NaN,NaN
CG4968,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Mob3,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Npc1a,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Spn31A,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
CG4592-RA,NaN,NaN,NaN,NaN,NaN,NaN
Srp54,NaN,NaN,0.7473,NaN,NaN,0.65198
zf30C,NaN,NaN,NaN,NaN,NaN,NaN
Cyp4e3,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Mco1,NaN,0.93487,NaN,NaN,NaN,1.0959
,NaN,NaN,NaN,NaN,NaN,NaN
CG18661,0.76178,0.83993,NaN,0.84378,NaN,NaN
,NaN,NaN,NaN,NaN,0.77456,0.56842
Trs23,0.85916,NaN,NaN,1.0022,1.0881,0.78714
PrBP,NaN,NaN,NaN,NaN,NaN,NaN
mRpL51,2.6695,2.3682,2.8745,2.1509,2.5846,2.9421
CG13096,NaN,NaN,NaN,NaN,NaN,NaN
ESTS:172F5T,NaN,NaN,NaN,NaN,NaN,NaN
lectin-29Ca,NaN,1.6331,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Wdr82,NaN,NaN,NaN,NaN,NaN,NaN
CG7627-RA,NaN,NaN,NaN,NaN,0.28819,NaN
CG7787,NaN,NaN,NaN,NaN,NaN,NaN
wol,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Spn28F,0.22518,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Rbsn-5,NaN,NaN,NaN,NaN,NaN,NaN
mon2,NaN,NaN,NaN,NaN,NaN,NaN
poe,NaN,0.18477,0.45017,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Wwox,NaN,NaN,NaN,NaN,NaN,NaN
Proct,NaN,NaN,NaN,NaN,NaN,NaN
r2d2,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Cyp4d21,0.34692,NaN,0.16864,0.23417,0.20847,0.32983
,NaN,NaN,NaN,NaN,NaN,NaN
CG5181,NaN,NaN,NaN,NaN,NaN,NaN
Rab30,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,1.1377,1.3242,1.5599
SA,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,0.79822,NaN,NaN,0.36893,NaN
Rat1,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,0.60371
Galt,NaN,NaN,NaN,NaN,NaN,NaN
,0.82711,NaN,NaN,1.2549,NaN,NaN
Ent2,0.73538,NaN,NaN,NaN,NaN,NaN
CG9551,NaN,NaN,NaN,NaN,NaN,NaN
CG9542,0.56419,0.56224,0.35403,0.58068,0.47217,0.5305
frj,NaN,0.45318,NaN,NaN,0.44858,0.36249
retm,NaN,NaN,NaN,0.50737,0.36552,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Arpc4,NaN,0.652,0.87759,0.86025,NaN,NaN
CG9175-RA,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
mtm,NaN,NaN,NaN,NaN,NaN,NaN
lid,NaN,NaN,NaN,NaN,NaN,NaN
bchs,0.76619,NaN,NaN,NaN,NaN,0.23862
,NaN,NaN,NaN,NaN,NaN,NaN
obst-E,2.2166,1.4714,NaN,1.6385,NaN,NaN
,0.64752,NaN,NaN,NaN,NaN,NaN
CG7277,NaN,NaN,NaN,NaN,NaN,NaN
CG6907,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Cyp4ac1;Cyp4ac3;Cyp4ac2,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
vkg,NaN,NaN,NaN,NaN,NaN,NaN
CG3887,1.3701,NaN,NaN,NaN,1.5427,NaN
CG3792,NaN,NaN,NaN,NaN,0.74546,NaN
Gmd,NaN,NaN,NaN,NaN,NaN,NaN
CG14043,NaN,NaN,NaN,NaN,NaN,NaN
mRpL24,2.2592,2.4578,NaN,2.7759,NaN,2.2305
CG12581-RA,NaN,NaN,NaN,NaN,NaN,NaN
aux,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,0.38819,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Fip1,NaN,NaN,NaN,NaN,NaN,NaN
CG12001,NaN,NaN,NaN,NaN,NaN,NaN
eIF3-S5-1,0.80854,NaN,0.86366,0.84046,NaN,NaN
atms,NaN,NaN,NaN,NaN,NaN,NaN
CG2016-RB,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,0.32015,NaN,0.70978
cno,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,0.85534,0.80907,NaN,NaN,NaN
Prosbeta7,NaN,NaN,NaN,NaN,1.0826,NaN
mRpL44,NaN,NaN,2.3524,NaN,1.2361,NaN
CG12168,NaN,NaN,NaN,NaN,NaN,NaN
CG2509,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
elm,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,0.63928,0.73949,0.56527,0.78352,NaN,0.48115
,NaN,NaN,NaN,NaN,NaN,NaN
CG42675-RF,NaN,NaN,NaN,NaN,NaN,NaN
Hpr1,NaN,NaN,NaN,NaN,NaN,0.52042
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Ddx1,NaN,NaN,NaN,NaN,NaN,NaN
CG7414,NaN,0.4302,0.55058,NaN,NaN,1.2681
Rpb8,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,1.4729,NaN,NaN,1.3734,NaN,NaN
Wnk,NaN,NaN,NaN,NaN,NaN,0.77879
CoVIII,NaN,NaN,1.0908,1.3413,NaN,NaN
M6,NaN,NaN,NaN,NaN,NaN,NaN
,1.0111,0.80039,0.78139,NaN,0.7305,0.82491
CG12975,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
CG3116,NaN,NaN,NaN,0.23528,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
CG3634,NaN,NaN,NaN,NaN,NaN,NaN
Pex14,NaN,NaN,NaN,NaN,NaN,NaN
CG4186-RA,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
mRpL15,1.4525,1.2915,0.88681,1.4258,1.8773,NaN
zye,NaN,NaN,NaN,NaN,NaN,NaN
Toll-9,NaN,NaN,NaN,NaN,NaN,NaN
Spn77Bc,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,0.77557,0.85813,0.92161,0.83929,NaN
mRpL10,NaN,NaN,NaN,NaN,NaN,NaN
Tbc1d15-17,NaN,NaN,NaN,NaN,NaN,NaN
CG17078-RA,NaN,NaN,NaN,NaN,NaN,NaN
Spp,NaN,0.64809,NaN,NaN,NaN,0.75257
nAcRbeta-21C,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Clp,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Atg4,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Iris,0.3353,NaN,NaN,0.25245,NaN,NaN
capt,0.82135,NaN,NaN,0.56744,0.6498,NaN
Plap,0.32584,0.29951,NaN,3.9869,NaN,NaN
CG5001-RA,NaN,NaN,NaN,2.1504,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,1.3243,1.4031,1.4909,1.54,1.5159,1.5037
robo3,NaN,NaN,NaN,NaN,NaN,NaN
mRpL48,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
CG15356-RA,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
l(2)s5379,0.8516,0.73306,0.69199,NaN,0.87638,0.73915
,NaN,NaN,NaN,NaN,NaN,NaN
CG3597-RA,0.82233,NaN,0.28156,0.28582,0.27633,NaN
Glyctk,0.42255,0.44438,0.26803,0.44297,0.24094,0.42447
Cyp309a1,NaN,NaN,NaN,NaN,NaN,NaN
Arpc5,NaN,1.2201,NaN,1.0164,NaN,NaN
CG31689-RA,NaN,NaN,NaN,NaN,NaN,NaN
CG3098,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Prx6005,1.3205,0.56287,0.95038,1.2647,NaN,1.7734
,NaN,NaN,NaN,NaN,NaN,NaN
GABPI,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
sec5,NaN,NaN,NaN,1.0684,0.31314,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Dot,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,0.88151,NaN,0.80176,NaN,0.847,0.79139
,NaN,NaN,NaN,NaN,NaN,NaN
ed,NaN,NaN,NaN,NaN,NaN,NaN
lectin-24Db,NaN,NaN,NaN,NaN,NaN,NaN
CG3338-RA,NaN,NaN,NaN,NaN,NaN,NaN
Elp3,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,0.51543,0.71241,0.56514,0.51468
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
hoe2,NaN,NaN,NaN,NaN,0.45955,0.4026
,0.32553,NaN,NaN,NaN,NaN,NaN
CG14614-RA,NaN,NaN,NaN,NaN,NaN,NaN
CG14619-RC,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
S6kII,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Cda4,NaN,NaN,NaN,NaN,NaN,NaN
obst-A,NaN,NaN,NaN,NaN,NaN,NaN
Syx16,NaN,NaN,NaN,NaN,NaN,NaN
Obp19b,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
CG32521-RB,NaN,NaN,NaN,NaN,NaN,NaN
CG1704,NaN,NaN,NaN,NaN,NaN,NaN
,0.3824,0.54551,NaN,NaN,NaN,NaN
waw,NaN,NaN,NaN,NaN,NaN,NaN
CG10671,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
membrin,NaN,NaN,NaN,NaN,0.57443,NaN
sinu,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Bre1,NaN,NaN,NaN,NaN,NaN,NaN
QC,2.0304,2.5112,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
alphaKap4,NaN,NaN,NaN,NaN,NaN,NaN
loj,NaN,NaN,NaN,NaN,NaN,NaN
CG13298,NaN,NaN,NaN,NaN,NaN,NaN
Trn,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,0.35792,NaN,NaN
,0.45658,0.35616,0.34065,0.40266,0.5057,0.47784
,NaN,NaN,NaN,NaN,NaN,NaN
CG14830-RA,NaN,2.0604,NaN,2.1365,1.4883,4.2338
unc-13-4A,NaN,NaN,NaN,NaN,NaN,NaN
,0.7648,0.56464,0.80325,0.53845,0.4569,NaN
Cyp316a1,NaN,NaN,NaN,NaN,NaN,NaN
ltl,NaN,NaN,NaN,NaN,NaN,NaN
Srp9,NaN,NaN,NaN,NaN,NaN,NaN
RNaseX25,NaN,NaN,0.79792,1.3965,NaN,NaN
CG7375,0.62218,NaN,0.68987,NaN,0.47766,0.41529
CG8005,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
exo70,NaN,0.78637,0.74726,NaN,NaN,0.3565
,NaN,NaN,NaN,NaN,0.97298,NaN
GstO1,0.54667,0.5301,0.55086,0.73968,0.27072,NaN
GAPsec,NaN,NaN,NaN,NaN,NaN,NaN
Zasp66,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Srp68,0.42399,0.32046,0.31677,0.51685,0.28718,0.38423
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Use1,NaN,1.2762,NaN,1.4,NaN,NaN
nwk,NaN,NaN,NaN,NaN,NaN,NaN
UGP,0.73316,0.79426,NaN,0.71212,NaN,NaN
CG4447-RA,2.3604,2.4335,3.2131,3.3075,2.5146,3.8353
Bet3,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,1.2619,NaN,NaN,NaN,NaN
,NaN,0.12324,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
vnc,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
CG7949,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
blos2,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
APP-BP1,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
mRpL2,NaN,NaN,0.75566,NaN,NaN,NaN
Ufd1-like,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Plod,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Fuca,NaN,NaN,NaN,NaN,NaN,NaN
CG6083-RA,NaN,NaN,NaN,NaN,NaN,NaN
CG32085-RA,NaN,NaN,NaN,NaN,NaN,NaN
RhoGAP68F,NaN,NaN,NaN,NaN,NaN,NaN
thoc6,NaN,NaN,NaN,NaN,NaN,NaN
,1.1686,1.0697,0.84415,1.3129,NaN,NaN
Smyd4,NaN,NaN,NaN,NaN,NaN,NaN
ArfGAP1,0.94622,1.1031,NaN,0.80731,NaN,NaN
CG10616,NaN,NaN,NaN,NaN,NaN,NaN
SmD1,NaN,1.9008,2.0345,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,1.1033,NaN,1.2212,NaN,0.82335,1.2588
mRpL20,NaN,NaN,NaN,NaN,NaN,NaN
SRm160,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
CG14105,NaN,NaN,NaN,NaN,NaN,NaN
Vps36,NaN,NaN,NaN,NaN,NaN,NaN
Liprin-beta,NaN,NaN,NaN,NaN,NaN,NaN
bru-3,NaN,NaN,NaN,NaN,NaN,NaN
CG8745,NaN,NaN,NaN,NaN,NaN,NaN
CG32138,NaN,NaN,NaN,NaN,NaN,NaN
Pex1,NaN,NaN,NaN,NaN,NaN,NaN
bbg,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
mop,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,1.2233,NaN,NaN,NaN,NaN
mRpL39,0.62178,NaN,NaN,NaN,NaN,0.69326
CTPsyn,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Pex3,NaN,NaN,NaN,NaN,NaN,NaN
Prp31,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,0.8838,NaN,NaN,NaN,NaN
CG7857-RA,NaN,NaN,NaN,NaN,NaN,0.9809
CG7427,NaN,NaN,NaN,NaN,NaN,NaN
UFSP2,NaN,NaN,NaN,NaN,NaN,NaN
CG12304;CG12304-RB,NaN,NaN,NaN,NaN,NaN,NaN
CG15715-RA,NaN,NaN,NaN,NaN,NaN,NaN
,1.0914,NaN,0.74553,2.3637,NaN,1.4332
CG5931,0.38364,NaN,0.26552,NaN,0.12294,1.274
CG17026-RA,NaN,NaN,NaN,NaN,NaN,NaN
Hip14,NaN,NaN,NaN,NaN,NaN,NaN
CG5161,NaN,NaN,NaN,1.6962,NaN,1.5819
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,3.1762,NaN,NaN,NaN
CG13062-RA,NaN,NaN,NaN,NaN,NaN,NaN
Nplp3,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,2.24,NaN,NaN,1.3777
,NaN,NaN,0.18441,NaN,0.18893,0.1621
mRpS34,1.3051,NaN,1.0518,NaN,1.1648,1.0153
CG4933,NaN,NaN,NaN,NaN,NaN,0.39625
,NaN,NaN,NaN,NaN,NaN,NaN
RAF2,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Syx8,NaN,NaN,NaN,NaN,NaN,NaN
l(3)73Ah,NaN,NaN,NaN,NaN,NaN,NaN
,0.17602,0.39315,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Baldspot,0.28795,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
CG9705,1.0428,NaN,NaN,0.99978,NaN,NaN
Lmpt,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Fit2,NaN,NaN,NaN,1961.2,NaN,NaN
,0.8541,0.63408,0.83516,NaN,0.73776,0.88787
CG32174,NaN,NaN,NaN,NaN,1.1216,NaN
Oatp74D,NaN,NaN,NaN,NaN,NaN,NaN
U4-U6-60K,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,0.91723,1.3786,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Adgf-A,NaN,NaN,NaN,NaN,NaN,NaN
Prestin,NaN,NaN,NaN,NaN,NaN,NaN
CG5290-RA,NaN,NaN,NaN,NaN,NaN,NaN
mRpS26,NaN,0.89451,NaN,1.1009,NaN,NaN
,0.8562,0.74591,0.68121,0.54541,NaN,NaN
Aut1,0.52395,0.47859,0.37071,NaN,NaN,NaN
CSN1b,NaN,NaN,NaN,NaN,0.52098,0.64971
,NaN,NaN,NaN,NaN,NaN,NaN
,0.28996,0.21856,0.26624,0.24948,NaN,NaN
Acp76A,0.36522,0.38275,NaN,NaN,NaN,NaN
,1.5297,NaN,1.4451,1.3704,1.1995,NaN
CG10424,0.63715,0.43686,NaN,NaN,NaN,0.69358
,NaN,NaN,NaN,NaN,NaN,NaN
Bet1,NaN,NaN,NaN,NaN,NaN,NaN
Gbs-76A,0.3299,0.14849,NaN,0.15605,0.71012,0.87774
CG32206-RB,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Cpr76Bb,NaN,NaN,NaN,NaN,NaN,NaN
l(3)76BDr,NaN,NaN,NaN,NaN,NaN,NaN
CG9330-RA,NaN,NaN,NaN,NaN,NaN,1.1456
CG9368-RA,0.83028,1.0403,0.77191,0.84984,0.3913,0.7777
,NaN,NaN,NaN,NaN,NaN,NaN
l(3)76BDm,NaN,NaN,NaN,NaN,NaN,NaN
serp,NaN,NaN,NaN,NaN,NaN,NaN
Grasp65,NaN,NaN,NaN,NaN,NaN,NaN
CG14184-RB,NaN,0.88031,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
CG32226,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Spn77Bb,0.251,0.30071,0.5888,0.97952,0.49968,0.18421
Pmp70,NaN,0.99455,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
Arp10,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,0.30944,NaN,NaN,NaN,NaN
NAA20,NaN,NaN,NaN,NaN,NaN,NaN
Nat1,0.31411,0.48037,0.61243,1.541,0.15401,2.4445
mRpS14,NaN,NaN,NaN,NaN,NaN,NaN
Mec2,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
CG7332,0.32218,NaN,0.34554,NaN,NaN,0.92221
,NaN,NaN,NaN,NaN,NaN,NaN
,0.49258,NaN,0.49636,NaN,NaN,0.38535
CG18259-RA,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,2.3595,NaN,NaN
,NaN,0.9589,NaN,NaN,NaN,NaN
Frq2,NaN,NaN,NaN,NaN,1.6567,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
CG6762,NaN,NaN,1.5384,1.678,NaN,1.6811
,NaN,NaN,NaN,NaN,NaN,NaN
RhoGAPp190,NaN,0.34376,0.23452,0.47878,NaN,0.68922
,NaN,NaN,NaN,NaN,NaN,NaN
CG5172-RD,2.0822,2.3146,1.7364,NaN,NaN,3.4867
,NaN,0.22516,0.40158,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
CG16700-RA,NaN,NaN,NaN,NaN,NaN,NaN
UBR1,NaN,NaN,NaN,NaN,NaN,NaN
RSG7,NaN,NaN,NaN,NaN,NaN,NaN
mRpL22,NaN,NaN,NaN,NaN,NaN,NaN
rok,NaN,NaN,NaN,NaN,NaN,NaN
,NaN,NaN,NaN,NaN,NaN,NaN
mbt,NaN,NaN,NaN,NaN,NaN,NaN
crl,NaN,NaN,NaN,NaN,NaN,NaN
Cap,NaN,NaN,NaN,NaN,NaN,NaN
rngo,NaN,NaN,NaN,NaN,NaN,NaN
CG9947-RA,NaN,NaN,0.98728,0.81566,1.16,0.82273
,NaN,NaN,NaN,NaN,NaN,NaN
Aats-arg,0.61454,0.1924,0.33101,0.29462,0.23592,0.38342
mRpL3,1.0968,0.85397,NaN,1.2649,1.1054,1.2349
,NaN,NaN,NaN,NaN,NaN,NaN
